Location,Soil_Type,Fertility_Index,Land_Use_Type,Average_Rainfall(mm),Temperature(°C),Crop_Suitability,Season,Satellite_Observation_Date,Remarks
Sylhet,Loamy,62,Agricultural,72,28.6,Wheat,Monsoon,2024-09-24,Requires attention
Dhaka,Sandy,63,Unused,118,23.8,Maize,Autumn,2024-01-31,Moderate potential
Rangpur,Peaty,51,Agricultural,106,32.0,Maize,Autumn,2024-03-11,Requires attention
Khulna,Sandy,67,Barren,336,31.6,Wheat,Autumn,2024-09-29,Low potential
Rangpur,Peaty,63,Agricultural,237,20.1,Rice,Winter,2024-04-01,Moderate potential
Rajshahi,Clay,58,Barren,345,29.3,Vegetables,Monsoon,2024-01-12,High potential
Rajshahi,Silt,68,Barren,324,33.8,Tea,Winter,2024-09-06,Low potential
Chattogram,Loamy,49,Agricultural,71,27.0,Jute,Summer,2024-08-05,Moderate potential
Barishal,Silt,64,Agricultural,157,22.1,Vegetables,Monsoon,2024-12-21,High potential
Dhaka,Sandy,61,Residential,301,27.9,Rice,Autumn,2024-03-01,Requires attention
Rangpur,Loamy,76,Unused,355,21.9,Rice,Monsoon,2024-08-13,Low potential
Khulna,Clay,44,Barren,51,32.5,Jute,Winter,2024-02-20,Requires attention
Chattogram,Silt,43,Unused,95,33.5,Wheat,Autumn,2024-07-14,Requires attention
Mymensingh,Silt,93,Residential,211,29.3,Spices,Monsoon,2024-06-07,High potential
Rangpur,Clay,83,Agricultural,218,20.5,Vegetables,Summer,2024-04-02,High potential
Barishal,Sandy,79,Barren,280,22.5,Rice,Autumn,2024-06-05,Low potential
Rangpur,Loamy,44,Unused,128,30.4,Tea,Monsoon,2024-12-15,Low potential
Chattogram,Sandy,41,Unused,336,21.2,Maize,Summer,2024-11-06,Low potential
Khulna,Clay,91,Agricultural,73,29.4,Maize,Summer,2024-09-14,Low potential
Khulna,Silt,67,Residential,222,20.7,Maize,Winter,2024-03-30,Moderate potential
Rajshahi,Sandy,79,Barren,86,34.6,Maize,Summer,2024-12-26,High potential
Mymensingh,Loamy,62,Unused,231,31.8,Tea,Autumn,2024-03-14,High potential
Rangpur,Loamy,43,Barren,217,29.6,Spices,Winter,2024-10-23,Moderate potential
Rajshahi,Peaty,72,Agricultural,255,33.2,Vegetables,Autumn,2024-11-03,Requires attention
Sylhet,Peaty,41,Barren,61,23.7,Wheat,Winter,2024-12-06,Moderate potential
Rangpur,Peaty,90,Residential,188,24.0,Jute,Monsoon,2024-10-21,Low potential
Mymensingh,Loamy,93,Unused,79,28.5,Jute,Winter,2024-01-02,Low potential
Barishal,Loamy,49,Barren,308,29.3,Rice,Summer,2024-10-22,High potential
Chattogram,Clay,83,Barren,339,34.3,Jute,Summer,2024-12-18,Requires attention
Barishal,Loamy,73,Unused,375,28.0,Wheat,Autumn,2024-05-14,Low potential
Dhaka,Clay,79,Agricultural,148,34.7,Wheat,Autumn,2024-05-15,Low potential
Dhaka,Silt,76,Barren,319,33.7,Rice,Autumn,2024-07-16,High potential
Rajshahi,Clay,72,Unused,172,32.4,Tea,Summer,2024-04-12,Moderate potential
Khulna,Clay,86,Residential,269,25.9,Maize,Winter,2024-11-26,High potential
Mymensingh,Peaty,49,Unused,331,24.5,Wheat,Winter,2024-02-08,Moderate potential
Khulna,Peaty,66,Barren,286,23.6,Tea,Monsoon,2024-07-24,Requires attention
Mymensingh,Sandy,91,Residential,389,31.7,Jute,Winter,2024-01-10,Moderate potential
Chattogram,Loamy,96,Residential,318,31.9,Maize,Autumn,2024-03-10,High potential
Mymensingh,Clay,68,Residential,332,29.3,Jute,Monsoon,2024-05-16,High potential
Rajshahi,Loamy,95,Agricultural,121,33.2,Vegetables,Summer,2024-08-17,High potential
Chattogram,Clay,81,Unused,310,21.4,Jute,Summer,2024-04-04,High potential
Mymensingh,Silt,72,Barren,372,30.8,Wheat,Summer,2024-05-02,Low potential
Rangpur,Loamy,76,Residential,285,33.9,Maize,Winter,2024-08-29,Low potential
Mymensingh,Peaty,86,Residential,107,23.3,Spices,Summer,2024-01-13,Low potential
Khulna,Loamy,44,Agricultural,363,21.7,Spices,Summer,2024-06-09,High potential
Barishal,Clay,78,Barren,349,31.1,Rice,Monsoon,2024-07-31,Low potential
Mymensingh,Sandy,62,Unused,217,20.7,Maize,Winter,2024-01-26,Moderate potential
Mymensingh,Sandy,58,Barren,164,27.4,Tea,Winter,2024-02-05,Requires attention
Chattogram,Loamy,61,Agricultural,321,33.9,Vegetables,Winter,2024-05-11,Low potential
Mymensingh,Silt,82,Unused,310,23.9,Vegetables,Monsoon,2024-08-13,High potential
Dhaka,Loamy,62,Unused,294,26.0,Wheat,Monsoon,2024-12-06,Requires attention
Mymensingh,Peaty,67,Agricultural,392,24.1,Spices,Winter,2024-07-22,Requires attention
Chattogram,Silt,46,Unused,188,23.1,Tea,Autumn,2024-06-23,High potential
Rajshahi,Clay,78,Residential,221,28.0,Jute,Monsoon,2024-12-22,Low potential
Sylhet,Silt,47,Unused,293,21.2,Jute,Summer,2024-06-16,Moderate potential
Chattogram,Peaty,89,Residential,348,32.2,Vegetables,Winter,2024-03-13,High potential
