Customer_ID,Feedback_Score,Policy_Type,Late_Payments,Lifetime_Months,Claims_Filed,Premium_Amount,Age,Gender,Income_Level,Is_Churn
CUST_1,7,Auto,4,8,0,1724,82,Male,Medium,0
CUST_2,3,Auto,8,27,0,1816,72,Other,Low,1
CUST_3,8,Health,8,30,1,1658,66,Other,Low,0
CUST_4,9,Auto,1,38,5,4016,63,Female,Low,0
CUST_5,10,Auto,6,53,1,3018,76,Male,Low,0
CUST_6,1,Life,0,25,2,3603,55,Other,Medium,0
CUST_7,9,Health,10,22,0,1192,72,Female,High,0
CUST_8,9,Life,3,24,5,3152,65,Male,Medium,0
CUST_9,1,Auto,5,41,1,2482,75,Male,Medium,0
CUST_10,7,Auto,3,25,0,2441,74,Other,High,0
CUST_11,9,Health,4,42,4,779,58,Male,High,0
CUST_12,4,Auto,1,30,2,585,77,Female,Low,1
CUST_13,2,Health,7,58,2,1710,80,Other,High,1
CUST_14,2,Health,6,16,4,4569,73,Male,Medium,0
CUST_15,3,Health,5,12,5,591,79,Other,Low,0
CUST_16,2,Health,4,15,3,1612,45,Male,Medium,1
CUST_17,8,Health,6,36,4,4270,82,Female,Low,0
CUST_18,10,Life,1,47,0,3476,20,Female,Medium,0
CUST_19,6,Life,4,42,2,990,23,Male,Medium,0
CUST_20,10,Life,1,52,3,4401,77,Other,Medium,0
CUST_21,3,Life,1,13,1,3936,58,Female,Low,0
CUST_22,9,Life,10,25,5,4353,22,Male,Low,0
CUST_23,3,Health,9,33,2,4079,70,Male,Low,1
CUST_24,3,Auto,10,20,4,2492,85,Female,High,1
CUST_25,4,Life,1,7,2,4903,35,Male,Low,1
CUST_26,4,Health,0,19,1,817,42,Female,Medium,0
CUST_27,2,Auto,10,16,4,3114,49,Other,Low,1
CUST_28,3,Auto,1,20,2,1386,78,Male,Low,0
CUST_29,6,Health,4,19,5,2565,48,Male,Low,0
CUST_30,7,Life,10,26,5,3435,46,Female,High,1
CUST_31,8,Life,7,58,3,2468,48,Other,Medium,0
CUST_32,8,Life,3,11,1,3591,53,Female,High,0
CUST_33,3,Health,9,12,1,580,77,Female,Medium,1
CUST_34,6,Auto,10,52,3,1458,54,Other,Medium,0
CUST_35,1,Life,10,33,2,4062,29,Male,Medium,0
CUST_36,4,Auto,10,2,4,4724,40,Female,Medium,1
CUST_37,9,Life,1,48,4,1076,73,Female,Medium,0
CUST_38,6,Health,10,32,5,1769,81,Male,Medium,0
CUST_39,7,Auto,2,17,5,807,82,Female,Medium,1
CUST_40,2,Life,9,43,2,4579,69,Male,Medium,1
CUST_41,7,Auto,8,39,4,3301,61,Female,High,1
CUST_42,3,Life,10,42,5,552,75,Other,High,1
CUST_43,8,Life,3,4,0,947,24,Male,High,0
CUST_44,2,Life,5,21,1,707,75,Other,Low,1
CUST_45,5,Life,8,13,5,3797,49,Male,Medium,1
CUST_46,2,Auto,4,33,4,1162,65,Other,Low,1
CUST_47,4,Auto,4,44,5,3350,51,Female,Low,0
CUST_48,5,Life,8,56,3,3497,69,Other,Low,0
CUST_49,3,Auto,0,47,5,4839,18,Female,Low,0
CUST_50,8,Life,10,37,4,3337,64,Male,High,0
CUST_51,8,Auto,1,50,3,2294,37,Other,Medium,1
CUST_52,4,Life,2,42,0,1784,28,Other,High,0
CUST_53,3,Life,7,1,0,1676,76,Male,High,0
CUST_54,4,Health,7,22,4,2616,44,Other,Low,0
CUST_55,6,Health,1,47,4,2598,35,Male,Medium,0
CUST_56,8,Health,2,40,0,3111,26,Other,High,0
CUST_57,4,Life,7,24,5,3415,49,Male,Medium,0
CUST_58,8,Life,7,1,5,4072,45,Male,Low,1
CUST_59,5,Health,1,40,5,3274,18,Female,Low,0
CUST_60,3,Auto,5,49,5,1996,60,Other,High,0
CUST_61,2,Life,6,58,5,2237,83,Male,High,0
CUST_62,5,Health,10,59,0,1986,74,Male,High,0
CUST_63,3,Health,8,47,0,1541,39,Other,High,0
CUST_64,1,Health,5,18,5,1285,83,Female,Low,0
CUST_65,10,Health,3,11,1,2987,85,Male,High,0
CUST_66,5,Health,9,34,1,4891,19,Male,High,1
CUST_67,3,Auto,0,42,3,3032,39,Female,Medium,0
CUST_68,1,Auto,9,5,4,2790,38,Female,Low,1
CUST_69,8,Life,1,28,2,1187,62,Female,Low,0
CUST_70,10,Health,10,35,5,2052,60,Other,Medium,0
CUST_71,4,Health,7,15,1,3560,81,Male,Medium,0
CUST_72,8,Auto,4,26,1,1199,68,Male,Low,0
CUST_73,5,Auto,4,10,1,4163,45,Male,High,1
CUST_74,2,Auto,7,22,0,3793,25,Male,Medium,0
CUST_75,6,Auto,9,29,2,2130,83,Male,Low,1
CUST_76,9,Life,4,32,1,2208,84,Male,High,0
CUST_77,8,Life,0,12,1,924,45,Female,High,0
CUST_78,2,Auto,8,6,2,2453,81,Other,Low,1
CUST_79,10,Health,0,2,0,1148,22,Other,Medium,0
CUST_80,10,Health,10,45,5,3095,74,Other,High,0
CUST_81,5,Health,3,33,3,4054,26,Other,Low,0
CUST_82,3,Life,0,32,0,3179,19,Male,High,0
CUST_83,6,Health,8,12,5,840,71,Female,Low,0
CUST_84,1,Auto,9,30,3,4445,34,Female,Medium,1
CUST_85,6,Life,2,19,0,608,42,Other,Medium,0
CUST_86,10,Life,2,60,1,3360,28,Female,Medium,0
CUST_87,3,Life,9,8,3,4066,62,Male,High,0
CUST_88,6,Life,10,4,4,3525,54,Male,Low,1
CUST_89,4,Health,0,54,3,1033,46,Female,Low,0
CUST_90,1,Auto,6,24,4,606,57,Male,Medium,1
CUST_91,10,Auto,4,38,3,4033,55,Male,High,0
CUST_92,6,Life,1,6,1,2209,28,Other,Medium,0
CUST_93,6,Auto,9,59,1,3868,80,Male,Medium,0
CUST_94,9,Health,9,59,5,1417,57,Other,Low,0
CUST_95,8,Auto,6,23,4,1021,76,Other,Medium,0
CUST_96,8,Life,5,48,3,1648,18,Female,Low,0
CUST_97,10,Life,8,30,4,4750,54,Female,High,0
CUST_98,10,Health,4,58,5,4470,68,Male,High,0
CUST_99,4,Auto,0,56,0,2886,80,Male,High,1
CUST_100,7,Life,2,37,4,836,33,Male,Low,0
CUST_101,5,Health,9,33,5,4616,32,Other,Low,1
CUST_102,3,Life,3,48,0,1426,74,Other,Low,0
CUST_103,8,Life,7,54,1,1023,38,Female,Medium,0
CUST_104,4,Life,6,48,5,4214,55,Other,High,0
CUST_105,8,Auto,4,57,1,2062,85,Female,Low,0
CUST_106,10,Life,5,6,1,703,58,Male,High,0
CUST_107,6,Life,2,24,5,3578,66,Other,Medium,0
CUST_108,8,Health,6,22,0,2377,48,Male,High,0
CUST_109,3,Health,10,22,4,4844,50,Other,Medium,1
CUST_110,4,Auto,5,6,1,1690,43,Other,High,0
CUST_111,9,Auto,8,36,1,1067,72,Female,High,1
CUST_112,2,Health,7,20,0,2756,65,Other,Medium,1
CUST_113,7,Life,2,38,2,3072,24,Male,High,0
CUST_114,2,Life,8,23,2,1584,50,Female,High,1
CUST_115,3,Auto,0,46,4,4966,31,Male,Medium,0
CUST_116,10,Life,2,51,2,4111,71,Other,High,0
CUST_117,3,Life,3,24,5,4755,36,Female,Medium,0
CUST_118,2,Auto,8,11,5,3748,68,Female,Low,1
CUST_119,4,Life,6,40,1,1605,76,Female,Low,0
CUST_120,6,Auto,5,28,2,4639,40,Female,Low,1
CUST_121,2,Auto,6,17,0,2421,52,Other,Medium,1
CUST_122,2,Health,2,16,4,560,19,Male,Low,1
CUST_123,2,Auto,6,41,3,2032,82,Male,Medium,1
CUST_124,4,Life,0,21,4,2850,66,Other,High,0
CUST_125,4,Life,0,9,4,962,38,Male,High,1
CUST_126,1,Life,8,9,0,3454,81,Male,High,1
CUST_127,2,Health,0,7,3,1683,25,Male,Low,0
CUST_128,1,Auto,5,31,2,1112,28,Male,High,1
CUST_129,8,Health,9,13,4,4616,49,Female,Low,1
CUST_130,6,Life,8,9,2,3442,36,Female,High,0
CUST_131,4,Auto,0,36,3,887,30,Female,Low,1
CUST_132,6,Health,10,20,0,3124,65,Male,Low,1
CUST_133,1,Life,1,10,0,3640,68,Other,Low,1
CUST_134,3,Health,8,17,2,927,72,Other,Low,0
CUST_135,5,Life,8,50,1,2054,75,Female,Medium,0
CUST_136,7,Health,8,34,5,1375,25,Male,Low,1
CUST_137,10,Auto,0,31,2,1286,26,Female,Medium,0
CUST_138,5,Auto,0,60,4,1726,27,Male,Low,0
CUST_139,9,Auto,3,42,4,3845,83,Male,High,0
CUST_140,5,Health,0,43,0,937,77,Female,Medium,0
CUST_141,2,Life,0,11,0,2651,33,Other,High,1
CUST_142,3,Auto,5,37,5,4975,77,Male,High,0
CUST_143,4,Life,3,35,5,3399,32,Female,High,0
CUST_144,3,Auto,7,4,1,4827,18,Female,Medium,1
CUST_145,3,Health,8,43,4,3949,52,Other,Medium,0
CUST_146,3,Health,2,11,2,3170,60,Male,Low,1
CUST_147,4,Life,8,2,1,2658,38,Female,Medium,1
CUST_148,3,Health,6,58,1,1056,23,Female,Medium,0
CUST_149,1,Life,8,10,2,4988,78,Female,High,1
CUST_150,9,Life,7,40,0,2726,28,Female,Low,0
CUST_151,8,Health,10,5,3,2731,84,Male,Medium,0
CUST_152,4,Auto,2,42,0,626,20,Other,Medium,0
CUST_153,9,Health,10,60,5,2480,37,Other,Medium,1
CUST_154,6,Life,10,30,0,4953,40,Other,Low,0
CUST_155,8,Auto,2,12,4,4005,28,Female,Medium,0
CUST_156,1,Life,0,25,5,3393,49,Other,High,1
CUST_157,10,Life,3,21,1,3021,31,Male,High,0
CUST_158,5,Health,0,50,5,4260,68,Other,Medium,0
CUST_159,4,Life,7,7,0,1068,22,Other,High,0
CUST_160,10,Health,1,42,1,2029,58,Female,Medium,0
CUST_161,2,Auto,0,42,3,4592,22,Male,High,1
CUST_162,4,Auto,8,16,3,921,42,Female,High,0
CUST_163,8,Auto,1,47,5,3553,57,Other,Low,0
CUST_164,1,Health,6,17,2,2576,67,Other,Medium,0
CUST_165,9,Auto,9,10,1,4680,31,Male,Low,1
CUST_166,6,Life,2,3,2,4246,29,Male,Medium,1
CUST_167,9,Life,2,20,0,3007,78,Male,High,0
CUST_168,8,Life,3,41,1,4837,48,Female,High,0
CUST_169,9,Life,9,22,0,4366,55,Female,Low,1
CUST_170,4,Life,7,54,2,802,29,Male,Low,0
CUST_171,8,Life,6,32,5,3254,79,Other,Medium,0
CUST_172,10,Auto,10,34,5,3769,50,Female,Low,1
CUST_173,3,Life,6,49,3,3617,29,Other,High,0
CUST_174,2,Life,2,8,4,1754,53,Other,High,1
CUST_175,4,Life,1,16,1,2343,70,Male,High,0
CUST_176,2,Life,5,7,2,724,62,Female,Low,0
CUST_177,7,Health,4,19,5,887,64,Male,Low,0
CUST_178,9,Auto,1,24,5,3543,56,Male,Medium,0
CUST_179,3,Life,5,49,0,3715,59,Female,High,0
CUST_180,3,Auto,1,56,3,555,28,Other,Low,0
CUST_181,7,Auto,9,25,1,3029,41,Female,Low,0
CUST_182,1,Auto,8,9,1,2729,49,Other,Medium,1
CUST_183,9,Health,0,47,1,3705,44,Female,Medium,0
CUST_184,1,Auto,7,24,2,1385,61,Other,Low,1
CUST_185,10,Health,0,15,4,3454,64,Other,Low,0
CUST_186,10,Life,10,4,0,586,27,Female,High,0
CUST_187,4,Life,2,14,1,1297,71,Female,Medium,0
CUST_188,8,Auto,7,4,3,1634,56,Other,Medium,0
CUST_189,2,Auto,2,57,4,2311,29,Female,Medium,1
CUST_190,6,Life,9,9,1,3240,62,Male,Medium,1
CUST_191,2,Health,10,18,1,931,70,Male,Low,0
CUST_192,10,Auto,2,55,0,3916,69,Male,Medium,0
CUST_193,4,Auto,9,5,0,3733,42,Male,High,1
CUST_194,2,Health,4,15,5,3571,21,Female,Medium,0
CUST_195,8,Life,2,2,2,3581,43,Other,Low,0
CUST_196,9,Auto,10,1,1,4045,66,Female,Medium,0
CUST_197,5,Life,8,8,4,952,43,Female,Low,0
CUST_198,5,Life,6,8,5,3449,47,Other,Medium,0
CUST_199,10,Health,3,14,3,738,83,Male,Low,1
CUST_200,9,Life,5,5,4,3358,70,Male,Medium,1
CUST_201,9,Life,8,19,3,670,57,Male,Low,0
CUST_202,4,Life,3,28,4,4688,83,Other,High,0
CUST_203,9,Health,4,20,2,3455,69,Male,High,0
CUST_204,1,Health,9,54,2,3552,60,Female,Medium,1
CUST_205,4,Health,2,20,3,4250,20,Female,Medium,0
CUST_206,8,Auto,6,12,1,4007,24,Female,Medium,1
CUST_207,5,Health,3,6,0,3201,75,Male,Low,1
CUST_208,8,Auto,8,19,0,4470,55,Female,Medium,0
CUST_209,4,Auto,9,16,3,4905,51,Male,Low,0
CUST_210,9,Auto,10,30,3,2242,44,Female,Medium,0
CUST_211,2,Auto,8,42,0,4401,59,Other,Low,1
CUST_212,2,Health,7,31,5,2536,40,Male,Medium,1
CUST_213,4,Life,10,33,0,1288,58,Other,Medium,1
CUST_214,4,Life,10,44,3,3026,18,Other,Medium,1
CUST_215,8,Health,4,56,1,4493,26,Female,Low,0
CUST_216,1,Health,9,44,0,2683,29,Female,Low,0
CUST_217,5,Health,5,2,4,2349,70,Female,High,0
CUST_218,10,Auto,5,55,1,4281,64,Female,Low,0
CUST_219,5,Life,9,24,0,1744,47,Male,Medium,0
CUST_220,7,Auto,1,22,1,841,68,Other,Low,0
CUST_221,3,Auto,0,43,2,2062,51,Other,Medium,0
CUST_222,5,Life,9,59,0,3167,77,Male,Medium,0
CUST_223,6,Life,2,40,3,1748,20,Female,Medium,0
CUST_224,6,Auto,3,9,5,1177,68,Female,Medium,0
CUST_225,5,Life,3,48,3,3675,73,Female,High,0
CUST_226,1,Life,5,9,3,649,72,Female,Low,1
CUST_227,8,Auto,5,58,2,1521,79,Other,Medium,0
CUST_228,8,Health,8,31,5,720,80,Male,High,0
CUST_229,1,Auto,8,31,5,1631,82,Male,Low,1
CUST_230,1,Life,5,2,5,4232,30,Other,Low,0
CUST_231,6,Health,7,43,2,3961,44,Male,Low,0
CUST_232,4,Life,2,9,5,2728,51,Other,High,0
CUST_233,6,Auto,8,28,1,4572,26,Male,High,0
CUST_234,6,Auto,10,4,3,1083,57,Male,Medium,1
CUST_235,9,Life,3,48,1,3027,61,Female,High,0
CUST_236,9,Health,4,20,4,2034,37,Male,Low,0
CUST_237,3,Life,6,37,1,2557,53,Other,Medium,0
CUST_238,4,Health,10,30,0,2366,53,Female,Medium,0
CUST_239,5,Health,3,26,5,1879,73,Female,Medium,0
CUST_240,9,Health,10,40,1,1160,53,Male,Medium,0
CUST_241,2,Life,8,60,5,1325,26,Other,Medium,1
CUST_242,2,Life,9,42,2,1108,58,Female,High,1
CUST_243,9,Health,1,31,0,902,45,Male,High,0
CUST_244,1,Auto,6,40,5,1571,62,Male,Low,0
CUST_245,9,Auto,1,38,0,4078,21,Other,Medium,0
CUST_246,3,Life,10,48,0,3912,20,Other,Medium,0
CUST_247,10,Auto,9,34,1,1594,51,Other,High,1
CUST_248,4,Life,0,60,2,2421,43,Female,Medium,0
CUST_249,9,Auto,5,29,2,4472,62,Male,Low,1
CUST_250,6,Auto,5,45,4,4186,27,Female,Medium,0
CUST_251,1,Life,8,12,3,2074,84,Female,High,1
CUST_252,3,Life,7,23,4,1393,53,Other,Low,0
CUST_253,9,Health,5,26,5,2295,23,Female,Medium,0
CUST_254,5,Health,3,43,4,2542,66,Female,Low,0
CUST_255,8,Health,0,38,2,560,44,Male,Medium,0
CUST_256,8,Auto,10,28,0,4901,37,Male,High,1
CUST_257,10,Life,2,42,4,2493,50,Female,Medium,0
CUST_258,9,Auto,9,50,1,1300,69,Male,High,1
CUST_259,3,Life,6,20,4,2655,64,Female,Low,0
CUST_260,6,Life,1,5,0,3530,30,Male,Low,0
CUST_261,9,Auto,4,5,4,1831,44,Other,High,1
CUST_262,8,Auto,9,14,2,2547,36,Female,High,1
CUST_263,6,Auto,9,23,4,4520,76,Other,Medium,0
CUST_264,4,Auto,10,1,4,4874,28,Female,High,1
CUST_265,8,Health,0,55,4,607,24,Male,Medium,0
CUST_266,2,Health,10,29,2,2198,22,Female,Low,1
CUST_267,6,Life,9,45,2,3028,56,Other,Low,1
CUST_268,7,Life,4,28,2,3661,31,Female,High,0
CUST_269,5,Health,1,51,5,2276,40,Other,High,0
CUST_270,2,Health,6,19,5,2106,72,Other,Low,1
CUST_271,6,Health,7,40,4,1980,53,Other,Medium,0
CUST_272,4,Auto,9,40,2,4718,48,Other,Low,1
CUST_273,4,Auto,5,25,5,4128,84,Other,Low,0
CUST_274,1,Auto,10,29,4,2664,51,Other,Medium,1
CUST_275,8,Auto,10,11,3,1756,78,Male,High,1
CUST_276,1,Life,2,45,1,3485,21,Male,High,0
CUST_277,7,Auto,10,29,2,3914,30,Male,High,1
CUST_278,7,Auto,0,46,2,3120,38,Female,High,0
CUST_279,7,Auto,2,26,3,3804,20,Male,Medium,0
CUST_280,8,Auto,7,13,1,3716,64,Female,Medium,1
CUST_281,1,Health,9,14,5,3890,24,Male,High,1
CUST_282,7,Life,8,37,0,4853,30,Male,High,1
CUST_283,4,Auto,9,27,2,779,67,Male,High,1
CUST_284,4,Health,10,33,3,3233,45,Female,Medium,0
CUST_285,2,Auto,1,2,2,833,48,Female,High,1
CUST_286,2,Health,4,3,2,757,37,Female,High,1
CUST_287,10,Auto,5,29,1,906,49,Other,Low,1
CUST_288,2,Life,4,8,5,3451,68,Female,High,1
CUST_289,7,Auto,8,59,0,3364,34,Other,Medium,1
CUST_290,2,Auto,1,7,3,2263,58,Other,High,1
CUST_291,2,Health,1,40,2,4960,46,Male,Low,0
CUST_292,10,Health,8,56,3,1448,35,Male,Medium,1
CUST_293,6,Life,9,19,1,3183,72,Male,High,0
CUST_294,6,Life,1,32,4,4343,64,Other,High,0
CUST_295,4,Life,7,21,2,3551,80,Female,Low,0
CUST_296,1,Auto,10,4,4,935,33,Female,Low,1
CUST_297,10,Auto,2,43,0,1258,32,Male,Medium,0
CUST_298,4,Life,8,50,2,3072,39,Male,Medium,0
CUST_299,8,Health,4,23,3,2708,55,Female,Medium,0
CUST_300,4,Life,5,41,2,2309,31,Male,Low,0
CUST_301,2,Auto,8,12,0,4952,35,Female,High,1
CUST_302,4,Auto,4,9,2,3228,83,Other,Low,0
CUST_303,5,Health,8,3,2,4219,45,Female,Medium,0
CUST_304,1,Auto,7,7,2,4927,18,Other,Low,0
